Bill of Quantity for Water Supply System Lower Vashlovani - LOT 2A ,,,,,,
4.2,"Valve chamber Type III (round concrete D= 1,5 m)",no., 13.00 ,1750.00," 22,750.00 ",
4.3,"Valve chamber Type IV (rectangular concrete, for PRV)",no., 7.00 ,1850.00," 12,950.00 ",
5,Construction of concrete structures,,,,,
5.1,Reservoir R-VAS-01,,,,,
5.1.1,Typical construction works of the 200 m3 water reservoir and control valve chamber. See BoQ breakdown in corresponding sheet,LS, 1.00 ," 156,646.86 "," 156,646.86 ",
5.1.2,"Supply and installation of mechanical equipment, according to the drawing KHU-VAS-WS-MEC-01",,,,,
5.1.2.1,Gate Valve DN75 / PN10,no., 2.00 ,500.00," 1,000.00 ",
5.1.2.2,Gate Valve DN90 / PN16,no., 4.00 ,750.00," 3,000.00 ",
5.1.2.3,Pressure / Flow Control Valve DN75 / PN16,no., 1.00 ,1200.00," 1,200.00 ",
5.1.2.4,Bulk Water Meter DN75 / PN16 - Equipped with Data Logger,no., 1.00 ,800.00, 800.00 ,
5.1.2.5,Bulk Water Meter DN90 / PN10 - Equipped with Data Logger,no., 1.00 ,850.00, 850.00 ,
5.1.2.6,Level control valve DN75 PN16,no., 1.00 ," 2,200.00 "," 2,200.00 ",
5.1.3,Construction of access road,m2, 100.00 , 40.00 ," 4,000.00 ",
5.1.4,"Excavation in any type of soil by machinary equipment or by hand, until excavation level, works include, dewotering works compaction, of excavation level, desposal of excavated material on dumpsite in radius of 9 km.",m3, 356.00 ,5.00," 1,780.00 ",
5.1.5,Backfilling works with selected backfilling material and compacted in layers,m3, 224.00 ,5.00," 1,120.00 ",
5.1.6,"Undertaking geotechnical investigations, including 3 test borehole with depth of 10 m",LS, 1.00 ,5000," 5,000.00 ",
5.2,Chlorination ,,,,,
5.2.1,Supply and installation of Inline Chlorine Tablet Feeder,no, 1.00 ,50000," 50,000.00 ",
6,Miscellaneous,,,,,
6.1,"Fencing of the sanitary areas, including entrance gate",m, 90.00 ,55," 4,950.00 ",
6.2,Connection to the outlet pipe of the LOT 1 valve chamber connection point,LS, 2.00 ," 1,000.00 "," 2,000.00 ",
,,,,,,
